Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",wro4j-examples/src/main/java/TestStripper.java,1,1,1,1,9,0,8,1,,,,1,1,0,1,,0,0,1,,0,0,0,1,,27,4,16,12,5,7,,,11,13,11,5,,,,,1,1,1,1,,0,,0,44,1,1,1,1
Public Class,"TestStripper",wro4j-examples/src/main/java/TestStripper.java,1,1,1,1,9,0,8,1,1,9,0,,1,0,,,0,0,1,13,0,0,0,1,,17,0,10,6,5,7,,,5,7,5,5,,,,,1,1,1,1,1,0,0,0,70,1,1,1,1
Public Static Method,"TestStripper.main(String[])",wro4j-examples/src/main/java/TestStripper.java,,,,,,,,,,,,,,,,,,,,,,,,,0,9,0,8,5,5,1,7,1,5,6,4,5,1,1,1,1,,,,,,0,,0,12,1,1,1,1
Package,"ro",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"ro.isdc",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"ro.isdc.wro",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,1,1,1,1,11,0,5,5,,,,2,0,2,2,,5,1,5,,0,1,1,3,,124,14,55,35,18,55,,,36,43,32,15,,,,,1,1,1,1,,0,,1,00,5,5,5,5
Public Abstract Class,"ro.isdc.wro.AbstractWroTest",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,1,1,1,1,13,0,7,6,1,15,12,,0,0,,,3,1,3,15,0,1,1,1,,57,4,24,11,12,29,,,11,15,8,10,,,,,1,1,1,1,1,0,33,1,21,3,3,3,3
Protected Method,"ro.isdc.wro.AbstractWroTest.compareProcessedResourceContents(String,String,ResourceProcessor)",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,,,,,,,,,,,,,,,,,,,,,,,,,19,19,0,8,5,4,11,2,1,3,4,3,3,1,1,1,1,,,,,,0,,1,38,1,1,1,1
Private Method,"ro.isdc.wro.AbstractWroTest.getReaderFromUri(String)",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,4,1,2,5,5,1,1,2,1,1,1,1,1,1,,,,,,0,,1,25,1,1,1,1
Public Method,"ro.isdc.wro.AbstractWroTest.initUriLocatorFactory()",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,9,3,6,4,4,1,6,7,2,6,1,1,1,1,,,,,,0,,0,44,1,1,1,1
