Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
pdfbox,RandomForest,0,model1,RUS,0.7949558556219164,0.6639199018696673,0.8338027675234122,[0.8737736 0.4540662],0.7949558556219164,0.8953646898432175,0.7843868838343977,0.8398757868388076,"[21864, 6010, 307, 2627]"
pdfbox,DT,0,model1,RUS,0.7673656193196572,0.6412363498666808,0.8134410895698194,[0.85395823 0.42851447],0.7673656193196572,0.9158145875937287,0.7517399727344479,0.8337772801640881,"[20954, 6920, 247, 2687]"
pdfbox,LogisticRegression,0,model1,RUS,0.7000129836406128,0.5355158460173859,0.7592836333154813,[0.81193277 0.25909893],0.7000129836406128,0.5507839127471029,0.7157207433450528,0.6332523280460778,"[19950, 7924, 1318, 1616]"
pdfbox,MLP,0,model1,RUS,0.691249026226954,0.5624714773646964,0.7546284756071701,[0.79984007 0.32510288],0.691249026226954,0.7808452624403545,0.6818181818181818,0.7313317221292682,"[19005, 8869, 643, 2291]"
pdfbox,RandomForest,0,model2,RUS,0.8500714100233705,0.7214451491344946,0.874678440109826,[0.91073189 0.53215841],0.8500714100233705,0.8953646898432175,0.8453038674033149,0.8703342786232662,"[23562, 4312, 307, 2627]"
pdfbox,DT,0,model2,RUS,0.8226110101272397,0.6906623985946246,0.854212837023302,[0.89269375 0.48863105],0.8226110101272397,0.8899113837764144,0.815527014422042,0.8527191990992281,"[22732, 5142, 323, 2611]"
pdfbox,LogisticRegression,0,model2,RUS,0.7656452869384576,0.6102798732957062,0.8094785889162192,[0.856347   0.36421275],0.7656452869384576,0.7048398091342877,0.772045633924087,0.7384427215291874,"[21520, 6354, 866, 2068]"
pdfbox,MLP,0,model2,RUS,0.7745390807582446,0.6349213524305619,0.8176877887360631,[0.86068993 0.40915277],0.7745390807582446,0.8197000681663258,0.7697854631556289,0.7947427656609773,"[21457, 6417, 529, 2405]"
pdfbox,RandomForest,0,model3,RUS,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,DT,0,model3,RUS,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,LogisticRegression,0,model3,RUS,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,MLP,0,model3,RUS,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,RandomForest,0,model1,ENN,0.8337120228512076,0.6952792674087274,0.8615452399941093,[0.90066508 0.48989346],0.8337120228512075,0.8384458077709611,0.8332137475783885,0.8358297776746748,"[23225, 4649, 474, 2460]"
pdfbox,DT,0,model1,ENN,0.8247208517268242,0.6937298072854526,0.8558757596562987,[0.89402622 0.4934334 ],0.8247208517268242,0.896387184730743,0.8171772978402813,0.8567822412855121,"[22778, 5096, 304, 2630]"
pdfbox,LogisticRegression,0,model1,ENN,0.6914437808361464,0.5347796582986659,0.7533277742000398,[0.8047488  0.26481052],0.6914437808361464,0.5835037491479209,0.7028054818110067,0.6431546154794637,"[19590, 8284, 1222, 1712]"
pdfbox,MLP,0,model1,ENN,0.8840560893274474,0.6389388300374276,0.8797686616909532,[0.93643223 0.34144543],0.8840560893274474,0.3156100886162236,0.9438903637798666,0.6297502261980451,"[26310, 1564, 2008, 926]"
pdfbox,RandomForest,0,model2,ENN,0.9034990911451571,0.7822069084761016,0.9137813087095077,[0.94473875 0.61967507],0.9034990911451571,0.825494205862304,0.9117098371242017,0.8686020214932529,"[25413, 2461, 512, 2422]"
pdfbox,DT,0,model2,ENN,0.8902233186185406,0.7702660748903363,0.9046535359711654,[0.93627285 0.6042593 ],0.8902233186185406,0.880027266530334,0.8912965487551123,0.8856619076427231,"[24844, 3030, 352, 2582]"
pdfbox,LogisticRegression,0,model2,ENN,0.7567514931186704,0.6048326043772692,0.8031813157797688,[0.84984973 0.35981548],0.7567514931186705,0.7177914110429447,0.760852407261247,0.7393219091520958,"[21208, 6666, 828, 2106]"
pdfbox,MLP,0,model2,ENN,0.916969618280966,0.7539029558989414,0.9160722899689508,[0.95422825 0.55357766],0.916969618280966,0.5405589638718473,0.9565903709550119,0.7485746674134296,"[26664, 1210, 1348, 1586]"
pdfbox,RandomForest,0,model3,ENN,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,DT,0,model3,ENN,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,LogisticRegression,0,model3,ENN,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,MLP,0,model3,ENN,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,RandomForest,0,model1,TL,0.8396844975331083,0.6932222031125441,0.8648184648144688,[0.90519244 0.48125197],0.8396844975331083,0.7808452624403545,0.8458778790270503,0.8133615707337023,"[23578, 4296, 643, 2291]"
pdfbox,DT,0,model1,TL,0.8265385614126202,0.6937138829406929,0.8569950087830561,[0.89541256 0.49201521],0.82653856141262,0.8820722563053851,0.8206931190356604,0.8513826876705227,"[22876, 4998, 346, 2588]"
pdfbox,LogisticRegression,0,model1,TL,0.7024474162555181,0.5350118251635043,0.7608918295901187,[0.81403793 0.25598572],0.7024474162555181,0.5374914792092707,0.7198105761641673,0.628651027686719,"[20064, 7810, 1357, 1577]"
pdfbox,MLP,0,model1,TL,0.9030446637237082,0.5640493876990752,0.8752557109609128,[0.94847779 0.17962098],0.9030446637237082,0.1114519427402863,0.9863672239362847,0.5489095833382855,"[27494, 380, 2607, 327]"
pdfbox,RandomForest,0,model2,TL,0.920215528434173,0.8008335495268256,0.9256610924561082,[0.9550311 0.646636 ],0.920215528434173,0.7665303340149966,0.9363923369448232,0.8514613354799098,"[26101, 1773, 685, 2249]"
pdfbox,DT,0,model2,TL,0.9012594131394444,0.7845676555995296,0.9129213837924146,[0.94312105 0.62601426],0.9012594131394444,0.8677573278800272,0.9047858219128937,0.8862715748964605,"[25220, 2654, 388, 2546]"
pdfbox,LogisticRegression,0,model2,TL,0.76584004154765,0.6106037404370118,0.809636916958671,[0.85646637 0.36474111],0.76584004154765,0.7058623040218133,0.7721532611035373,0.7390077825626753,"[21523, 6351, 863, 2071]"
pdfbox,MLP,0,model2,TL,0.9278434172942093,0.7597747274845998,0.9224365740386632,[0.96070842 0.55884104],0.9278434172942093,0.47989093387866394,0.9749946186410274,0.7274427762598457,"[27177, 697, 1526, 1408]"
pdfbox,RandomForest,0,model3,TL,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,DT,0,model3,TL,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,LogisticRegression,0,model3,TL,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,MLP,0,model3,TL,0.9047649961049078,0.4750008520500324,0.8595282881097509,[0.9500017 0.       ],0.9047649961049078,0.0,1.0,0.5,"[27874, 0, 2934, 0]"
