Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
jgit,RandomForest,0,model1,NONE,0.9154865525155204,0.5001348489959612,0.9486510776764626,[0.95578805 0.04448165],0.9154865525155204,0.02440144309609708,0.2511816340310601,0.92073017988008,0.58595590695557,"[172752, 14873, 1109, 372]"
jgit,DT,0,model1,NONE,0.8861167810645881,0.48944966672987616,0.9324215019813107,[0.93947025 0.03942908],0.8861167810645881,0.021108935479249247,0.29844699527346386,0.8907554963357761,0.5946012458046199,"[167128, 20497, 1039, 442]"
jgit,LogisticRegression,0,model1,NONE,0.7591350882573795,0.4501343621410461,0.8558780516056997,[0.86233441 0.03793431],0.7591350882573794,0.019579626722483864,0.6063470627954085,0.7603411059293804,0.6833440843623945,"[142659, 44966, 583, 898]"
jgit,MLP,0,model1,NONE,0.9921684134823855,0.4980344065128699,0.9882680139390312,[0.99606881 0.        ],0.9921684134823855,nan,0.0,1.0,0.5,"[187625, 0, 1481, 0]"
jgit,RandomForest,0,model2,NONE,0.9213562763740971,0.502887555939998,0.9518422860700523,[0.95898624 0.04678887],0.9213562763740971,0.02584802776007365,0.24645509790681971,0.9266835443037975,0.5865693211053086,"[173869, 13756, 1116, 365]"
jgit,DT,0,model2,NONE,0.8977821962285703,0.49467997543991,0.9389372861947022,[0.94600649 0.04335346],0.8977821962285703,0.023391188251001335,0.29574611748818364,0.9025343104596936,0.5991402139739386,"[169338, 18287, 1043, 438]"
jgit,LogisticRegression,0,model2,NONE,0.7620223578310578,0.451373336117182,0.8577391679073396,[0.86420543 0.03854124],0.7620223578310578,0.019900277986144816,0.6090479405806887,0.7632298467688208,0.6861388936747548,"[143201, 44424, 579, 902]"
jgit,MLP,0,model2,NONE,0.9921684134823855,0.4980344065128699,0.9882680139390312,[0.99606881 0.        ],0.9921684134823855,nan,0.0,1.0,0.5,"[187625, 0, 1481, 0]"
jgit,RandomForest,0,model3,NONE,0.8395027127642698,0.4687734148441003,0.9056030446766205,[0.91255406 0.02499277],0.8395027127642698,0.01312061521856449,0.262660364618501,0.8440559626915389,0.55335816365502,"[158366, 29259, 1092, 389]"
jgit,DT,0,model3,NONE,0.4733641449768913,0.3296905216709898,0.63516148611021,[0.64002227 0.01935878],0.4733641449768913,0.009822633025231077,0.6637407157326131,0.4718614257161892,0.5678010707244011,"[88533, 99092, 498, 983]"
jgit,LogisticRegression,0,model3,NONE,0.6813374509534336,0.4138081283453431,0.8036148509081041,[0.80981762 0.01779864],0.6813374509534336,0.009119454836985568,0.36866981769074947,0.6838054630246503,0.5262376403576998,"[128299, 59326, 935, 546]"
jgit,MLP,0,model3,NONE,0.9921684134823855,0.4980344065128699,0.9882680139390312,[0.99606881 0.        ],0.9921684134823855,nan,0.0,1.0,0.5,"[187625, 0, 1481, 0]"
jgit,DT,0,model1,ROS,0.8757046312650049,0.4866313507996304,0.9265517580118874,[0.93355195 0.03971075],0.8757046312650049,0.021134110280048704,0.3281566509115463,0.8800266489007329,0.6040916499061396,"[165115, 22510, 995, 486]"
jgit,RandomForest,0,model1,ROS,0.8749431535752435,0.48629806776874734,0.9261190292689717,[0.93311764 0.03947849],0.8749431535752435,0.021002592912705273,0.3281566509115463,0.8792591605596269,0.6037079057355866,"[164971, 22654, 995, 486]"
jgit,LogisticRegression,0,model1,ROS,0.7566973020422408,0.4491577934547077,0.8543002866360085,[0.86074708 0.03756851],0.7566973020422408,0.019384781435509982,0.6063470627954085,0.7578840772818122,0.6821155700386101,"[142198, 45427, 583, 898]"
jgit,MLP,0,model1,ROS,0.8446162469725974,0.48456785793222545,0.9086108775050937,[0.91535842 0.05377729],0.8446162469725974,0.02823521455381598,0.5638082376772451,0.8468327781479014,0.7053205079125732,"[158887, 28738, 646, 835]"
jgit,DT,0,model2,ROS,0.886915275030935,0.4919037876907076,0.9328865109855534,[0.93990361 0.04390397],0.886915275030935,0.023508570334195154,0.33153274814314654,0.8912991339107262,0.6114159410269363,"[167230, 20395, 990, 491]"
jgit,RandomForest,0,model2,ROS,0.8881632523558216,0.49175681618123174,0.933581386445606,[0.94061188 0.04290175],0.8881632523558216,0.0229918509895227,0.3200540175557056,0.8926475682878081,0.6063507929217569,"[167483, 20142, 1007, 474]"
jgit,LogisticRegression,0,model2,ROS,0.7599388702632386,0.45067620600570824,0.8563917861027808,[0.8628477  0.03850471],0.7599388702632386,0.019875803559714873,0.6137744767049291,0.7610926049300466,0.6874335408174879,"[142800, 44825, 572, 909]"
jgit,MLP,0,model2,ROS,0.8434634543589309,0.48523751053393877,0.9079311353381234,[0.91465721 0.05581781],0.843463454358931,0.029292624953968734,0.5908170155300473,0.8454576948700866,0.7181373552000669,"[158629, 28996, 606, 875]"
jgit,DT,0,model3,ROS,0.47408860639006695,0.3300485312406079,0.6358271222039529,[0.6406928  0.01940427],0.47408860639006695,0.009845907544526716,0.6644159351789332,0.47258627581612256,0.5685011054975279,"[88669, 98956, 497, 984]"
jgit,RandomForest,0,model3,ROS,0.47246517825981194,0.3292895865912794,0.6343218318820742,[0.63917563 0.01940354],0.47246517825981194,0.009845091917448855,0.6664415935178933,0.4709340439706862,0.5686878187442898,"[88359, 99266, 494, 987]"
jgit,LogisticRegression,0,model3,ROS,0.7222986050151765,0.42817201048261366,0.8318579150921577,[0.83828153 0.01806249],0.7222986050151766,0.009288461538461539,0.3261309925725861,0.7254257161892071,0.5257783543808967,"[136108, 51517, 998, 483]"
jgit,MLP,0,model3,ROS,0.8851807980709233,0.4838511626061872,0.9318550946002849,[0.93898392 0.02871841],0.8851807980709232,0.015377982178787008,0.21674544226873735,0.8904570286475683,0.5536012354581529,"[167072, 20553, 1160, 321]"
jgit,RandomForest,0,model1,SMOTE,0.9681289858597824,0.5150017844721333,0.97645095632299,[0.98379373 0.04620984],0.9681289858597824,0.030177759404712692,0.09858203916272788,0.9749926715522985,0.5367873553575132,"[182933, 4692, 1335, 146]"
jgit,DT,0,model1,SMOTE,0.9178714583355367,0.4962556821710074,0.9498913981235527,[0.95710984 0.03540153],0.9178714583355367,0.019493844049247606,0.1924375422012154,0.923597601598934,0.5580175719000747,"[173290, 14335, 1196, 285]"
jgit,LogisticRegression,0,model1,SMOTE,0.7553752921641831,0.44851106960922466,0.8534460190872568,[0.85988951 0.03713263],0.7553752921641831,0.01915684126881859,0.6022957461174882,0.7565836109260493,0.6794396785217687,"[141954, 45671, 589, 892]"
jgit,MLP,0,model1,SMOTE,0.890870728586084,0.502031209280826,0.9351729075038471,[0.94206524 0.06199718],0.890870728586084,0.033235867446393765,0.46049966239027684,0.894267821452365,0.677383741921321,"[167787, 19838, 799, 682]"
jgit,RandomForest,0,model2,SMOTE,0.9698264465432086,0.5179416422589066,0.9773590117163219,[0.98466945 0.05121383],0.9698264465432086,0.03397308625634238,0.10398379473328832,0.9766608927381746,0.5403223437357315,"[183246, 4379, 1327, 154]"
jgit,DT,0,model2,SMOTE,0.9261472401721785,0.49768431150799847,0.9543398516292976,[0.96160634 0.03376228],0.9261472401721785,0.01880829414938719,0.16475354490209318,0.9321572285143238,0.5484553867082085,"[174896, 12729, 1237, 244]"
jgit,LogisticRegression,0,model2,SMOTE,0.7545503580002748,0.44822061087533205,0.8529092912973656,[0.85934886 0.03709236],0.7545503580002749,0.0191340453309933,0.6036461850101283,0.7557415056628914,0.67969384533651,"[141796, 45829, 587, 894]"
jgit,MLP,0,model2,SMOTE,0.8911985870358423,0.504203784232479,0.9353731567404802,[0.9422341  0.06617347],0.8911985870358423,0.03547100038925652,0.4922349763673194,0.8943477681545636,0.6932913722609414,"[167802, 19823, 752, 729]"
jgit,RandomForest,0,model3,SMOTE,0.4775469842310662,0.33163756053271576,0.6390287549474847,[0.64392009 0.01935503],0.4775469842310662,0.009821896280775275,0.6583389601620526,0.4761199200532978,0.5672294401076752,"[89332, 98293, 506, 975]"
jgit,DT,0,model3,SMOTE,0.47754169619155395,0.33163502075611173,0.6390239042756799,[0.6439152  0.01935484],0.47754169619155395,0.009821797338544762,0.6583389601620526,0.47611459027315123,0.5672267752176019,"[89331, 98294, 506, 975]"
jgit,LogisticRegression,0,model3,SMOTE,0.7222986050151765,0.42817201048261366,0.8318579150921577,[0.83828153 0.01806249],0.7222986050151766,0.009288461538461539,0.3261309925725861,0.7254257161892071,0.5257783543808967,"[136108, 51517, 998, 483]"
jgit,MLP,0,model3,SMOTE,0.5041563990566138,0.34387946117218543,0.6630854776014268,[0.66816482 0.01959411],0.5041563990566138,0.009951146983857264,0.6326806212018906,0.5031419053964024,0.5679112632991464,"[94402, 93223, 544, 937]"
jgit,RandomForest,0,model1,ADA,0.9682823390056371,0.5145409209041357,0.9765220750802058,[0.98387331 0.04520853],0.9682823390056371,0.02957717142262029,0.09588116137744768,0.9751685542971352,0.5355248578372915,"[182966, 4659, 1339, 142]"
jgit,DT,0,model1,ADA,0.924555540278997,0.49931855322981367,0.953511095661019,[0.96073839 0.03789871],0.924555540278997,0.02105184297273,0.18973666441593517,0.9303557628247835,0.5600462136203592,"[174558, 13067, 1200, 281]"
jgit,LogisticRegression,0,model1,ADA,0.7518111535329391,0.4472428137490283,0.8511237090895257,[0.85755043 0.0369352 ],0.7518111535329391,0.019046409751761792,0.6076975016880486,0.7529487008660892,0.680323101277069,"[141272, 46353, 581, 900]"
jgit,MLP,0,model1,ADA,0.8766511903376942,0.4956954042341006,0.9271424342199082,[0.9340078  0.05738301],0.8766511903376942,0.03051794541156243,0.47940580688723833,0.8797868087941373,0.6795963078406878,"[165070, 22555, 771, 710]"
jgit,RandomForest,0,model2,ADA,0.9707518534578491,0.5169933899743008,0.9778147910615425,[0.98514757 0.04883921],0.9707518534578491,0.032764190124596214,0.09588116137744768,0.9776575616255829,0.5367693615015153,"[183433, 4192, 1339, 142]"
