Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
wro4j,RandomForest,0,model1,RUS,0.6583366388999075,0.44657057069182104,0.7681502081495303,[0.78891188 0.10422926],0.6583366388999075,0.6555232558139535,0.6584246170628608,0.6569739364384072,"[14486, 7515, 237, 451]"
wro4j,DT,0,model1,RUS,0.6127198201771784,0.4221374846022137,0.7338705097832745,[0.75399647 0.0902785 ],0.6127198201771784,0.6337209302325582,0.6120630880414527,0.6228920091370054,"[13466, 8535, 252, 436]"
wro4j,LogisticRegression,0,model1,RUS,0.7608092026973423,0.4921812693568377,0.839125103030706,[0.86152433 0.12283821],0.7608092026973423,0.5523255813953488,0.7673287577837371,0.659827169589543,"[16882, 5119, 308, 380]"
wro4j,MLP,0,model1,RUS,0.6703248270086826,0.4561182867925303,0.776743611016623,[0.79744367 0.1147929 ],0.6703248270086826,0.7049418604651163,0.669242307167856,0.6870920838164861,"[14724, 7277, 203, 485]"
wro4j,RandomForest,0,model2,RUS,0.6831063510952444,0.46004825549555955,0.7860468285954761,[0.8070938  0.11300271],0.6831063510952444,0.6656976744186046,0.6836507431480388,0.6746742087833216,"[15041, 6960, 230, 458]"
wro4j,DT,0,model2,RUS,0.6366961963947287,0.4356589331281487,0.7520602912732248,[0.77248765 0.09883022],0.6366961963947287,0.6569767441860465,0.6360619971819462,0.6465193706839963,"[13994, 8007, 236, 452]"
wro4j,LogisticRegression,0,model2,RUS,0.7458680417823615,0.48689840818020863,0.8293154192207624,[0.85142239 0.12237443],0.7458680417823615,0.5843023255813954,0.7509204127085133,0.6676113691449542,"[16521, 5480, 286, 402]"
wro4j,MLP,0,model2,RUS,0.6921415663978139,0.4680641015612617,0.7923723324495844,[0.81331017 0.12281803],0.6921415663978139,0.7107558139534884,0.6915594745693378,0.701157644261413,"[15215, 6786, 199, 489]"
wro4j,RandomForest,0,model3,RUS,0.6894971131385252,0.45068735061060916,0.7909114461157878,[0.81287684 0.08849787],0.6894971131385252,0.49709302325581395,0.6955138402799873,0.5963034317679006,"[15302, 6699, 346, 342]"
wro4j,DT,0,model3,RUS,0.6419410286923178,0.4308857143040632,0.7564427755732874,[0.77746124 0.08431019],0.6419410286923178,0.5436046511627907,0.6450161356301987,0.5943103933964946,"[14191, 7810, 314, 374]"
wro4j,LogisticRegression,0,model3,RUS,0.6439684428577724,0.4273317020482408,0.7581936767435865,[0.77955463 0.07510877],0.6439684428577724,0.47674418604651164,0.6491977637380119,0.5629709748922618,"[14283, 7718, 360, 328]"
wro4j,MLP,0,model3,RUS,0.548988496628322,0.38848344226008275,0.6827749274416282,[0.70177484 0.07519205],0.548988496628322,0.6046511627906976,0.5472478523703468,0.5759495075805222,"[12040, 9961, 272, 416]"
wro4j,RandomForest,0,model1,ENN,0.8645158446824452,0.5113267593949772,0.9015760711649915,[0.92677117 0.09588235],0.8645158446824452,0.2369186046511628,0.8841416299259125,0.5605301172885377,"[19452, 2549, 525, 163]"
wro4j,DT,0,model1,ENN,0.779672969280268,0.47852807705187905,0.8507761392293324,[0.87480905 0.08224711],0.779672969280268,0.32558139534883723,0.7938730057724649,0.5597272005606511,"[17466, 4535, 464, 224]"
wro4j,LogisticRegression,0,model1,ENN,0.7378465335625193,0.4839297597765194,0.8239692319537746,[0.8459227  0.12193682],0.7378465335625193,0.6002906976744186,0.7421480841779919,0.6712193909262052,"[16328, 5673, 275, 413]"
wro4j,MLP,0,model1,ENN,0.9670324827008683,0.5366182342175154,0.9561279464746014,[0.98321214 0.09002433],0.9670324827008683,0.05377906976744186,0.9955911094950229,0.5246850896312324,"[21904, 97, 651, 37]"
wro4j,RandomForest,0,model2,ENN,0.8938692758605492,0.5188443198823142,0.9178711725988097,[0.94363296 0.09405568],0.8938692758605492,0.1816860465116279,0.9161401754465706,0.5489131109790992,"[20156, 1845, 563, 125]"
wro4j,DT,0,model2,ENN,0.8453435585526026,0.5072562721689016,0.8906581203489494,[0.91541113 0.09910141],0.8453435585526026,0.2805232558139535,0.8630062269896823,0.5717647414018179,"[18987, 3014, 495, 193]"
wro4j,LogisticRegression,0,model2,ENN,0.7286350213759972,0.4801811861924229,0.8177622514268688,[0.839557   0.12080537],0.7286350213759972,0.6148255813953488,0.732193991182219,0.673509786288784,"[16109, 5892, 265, 423]"
wro4j,MLP,0,model2,ENN,0.967869892899643,0.5434814523170476,0.9569478462710089,[0.98364187 0.10332103],0.967869892899643,0.061046511627906974,0.9962274442070815,0.5286369779174942,"[21918, 83, 646, 42]"
wro4j,RandomForest,0,model3,ENN,0.7398298735069858,0.4714273704963844,0.8252412340951564,[0.848084   0.09477074],0.7398298735069858,0.4491279069767442,0.7489205036134721,0.5990242052951081,"[16477, 5524, 379, 309]"
wro4j,DT,0,model3,ENN,0.7338798536735863,0.4697767990711408,0.8212929673557796,[0.84398739 0.09556621],0.7338798536735863,0.4636627906976744,0.7423298940957229,0.6029963423966986,"[16332, 5669, 369, 319]"
wro4j,LogisticRegression,0,model3,ENN,0.6261183833575742,0.42008031856252576,0.7447837550441041,[0.76574711 0.07441353],0.6261183833575742,0.4956395348837209,0.6301986273351211,0.5629190811094211,"[13865, 8136, 347, 341]"
wro4j,MLP,0,model3,ENN,0.9696769359601569,0.49230252852987244,0.9547488148605688,[0.98460506 0.        ],0.9696769359601569,0.0,1.0,0.5,"[22001, 0, 688, 0]"
wro4j,RandomForest,0,model1,TL,0.8867733262814579,0.5069666582292454,0.9134555362144221,[0.93969908 0.07423423],0.886773326281458,0.14970930232558138,0.9098222808054179,0.5297657915654996,"[20017, 1984, 585, 103]"
wro4j,DT,0,model1,TL,0.7870774384062762,0.4768490265439512,0.8552772626944624,[0.87970917 0.07398888],0.7870774384062762,0.2805232558139535,0.8029180491795828,0.5417206524967682,"[17665, 4336, 495, 193]"
wro4j,LogisticRegression,0,model1,TL,0.744501740931729,0.48679686099388014,0.8284105011304255,[0.8504656  0.12312812],0.744501740931729,0.5915697674418605,0.7492841234489341,0.6704269454453974,"[16485, 5516, 281, 407]"
wro4j,MLP,0,model1,TL,0.9699413812860858,0.5038292679172877,0.9555707745440528,[0.9847359  0.02292264],0.9699413812860858,0.011627906976744186,0.9999090950411345,0.5057685010089393,"[21999, 2, 680, 8]"
wro4j,RandomForest,0,model2,TL,0.9105293313940677,0.5180387826953055,0.9265931692358047,[0.95297007 0.0831075 ],0.9105293313940677,0.13372093023255813,0.9348211444934321,0.5342710373629952,"[20567, 1434, 596, 92]"
