AP,MS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS
Proj,Fs,App,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS
commons-bcel,model1,0.79095821,0.6599572236383346,0.752317880794702,0.7050929049227584,RUS,0.82234782,0.702528493158712,0.6344370860927152,0.669252939019512,ENN,0.78915445,0.6577891066772142,0.785430463576159,0.7201660946835733,RUS,0.81107492,0.6873223755530163,0.7298013245033113,0.7080813909189615,RUS
commons-bcel,model2,0.88481318,0.7972224663795376,0.8317880794701987,0.814114317779203,RUS,0.88994835,0.8052210600334008,0.7986754966887417,0.8020223121027601,ENN,0.89837004,0.8189622337464475,0.8503311258278146,0.8342918812264671,RUS,0.89791955,0.818288359555829,0.8635761589403973,0.8404200305727872,RUS
commons-bcel,model3,0.895625,0.8140693211450002,0.7390728476821192,0.7774193337164192,ROS,0.91851923,0.8514839881632533,0.6503311258278146,0.7531827009771863,RUS,0.89663671,0.815680759426914,0.7337748344370861,0.775654195742033,ROS,0.895625,0.8140693211450002,0.7390728476821192,0.7774193337164192,ROS
commons-csv,model1,0.85231512,0.748833737637619,0.7962962962962963,0.7718252695643498,RUS,0.8880178,0.8027617092741183,0.6851851851851852,0.7458059849343281,ADA,0.90977209,0.8382160850905019,0.7469135802469136,0.7939878657440071,ROS,0.86137751,0.7626422840082104,0.8333333333333334,0.7968860239881984,RUS
commons-csv,model2,0.87528247,0.7837283075200597,0.8209876543209876,0.8017772599101571,RUS,0.89090717,0.8072401567456615,0.6666666666666666,0.739144378166891,ROS,0.95689398,0.9192013435342414,0.7407407407407407,0.8327525139147229,ROS,0.87795445,0.7880201530136219,0.845679012345679,0.8159509166019332,RUS
commons-csv,model3,0.83750277,0.726068296323941,0.6666666666666666,0.6972933102430888,RUS,0.87799195,0.7850345213659264,0.382716049382716,0.5901457868618409,RUS,0.83440479,0.7212166448964359,0.6234567901234568,0.6738603942920537,ROS,0.83685901,0.7251352864340362,0.6666666666666666,0.6968122634853441,RUS
commons-io,model1,0.81260299,0.6879553410918725,0.6325459317585301,0.660759163306639,RUS,0.82513001,0.7056959031128773,0.6299212598425197,0.6685040128764075,ROS,0.84935129,0.7412716434856657,0.6614173228346457,0.7020773563154296,ROS,0.79441522,0.6635443277509698,0.7480314960629921,0.7050125202047388,RUS
commons-io,model2,0.96424852,0.9317816255085628,0.6561679790026247,0.796504281451016,ENN,0.87201384,0.7759485287160564,0.7034120734908137,0.7403460136206778,SMOTE,0.94695362,0.9006528526823729,0.7716535433070866,0.8373371055168184,ROS,0.88365859,0.7946825622102375,0.8293963254593176,0.811720853869997,RUS
commons-io,model3,0.91059879,0.8378276090453213,0.6614173228346457,0.751241493714861,ROS,0.90333054,0.8253382533825339,0.5144356955380578,0.6727403221150327,RUS,0.91277088,0.8413757214495222,0.6351706036745407,0.7401656361823106,ADA,0.91014402,0.8370706783990917,0.6614173228346457,0.7508560815647429,ROS
