Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
jgit,RandomForest,0,model1,RUS,0.7322718475352449,0.44247460929512406,0.8381355508816769,[0.84443147 0.04051775],0.7322718475352448,0.7218095881161377,0.7323544303797468,0.7270820092479424,"[137408, 50217, 412, 1069]"
jgit,DT,0,model1,RUS,0.704811058348228,0.43013029008572284,0.8195748549989362,[0.82577186 0.03448872],0.704811058348228,0.6731937879810939,0.7050606262491672,0.6891272071151305,"[132287, 55338, 484, 997]"
jgit,LogisticRegression,0,model1,RUS,0.7642168942286337,0.45168653163093136,0.8591646559945002,[0.86564862 0.03772445],0.7642168942286337,0.5901417960837272,0.7655909393737508,0.677866367728739,"[143644, 43981, 607, 874]"
jgit,MLP,0,model1,RUS,0.7235835986166489,0.4380026805927014,0.8323468721942093,[0.83862184 0.03738352],0.7235835986166489,0.6853477380148548,0.7238854097268488,0.7046165738708517,"[135819, 51806, 466, 1015]"
jgit,RandomForest,0,model2,RUS,0.7431070404958064,0.44744195382379554,0.8453041810592097,[0.85163513 0.04324878],0.7431070404958066,0.7413909520594193,0.7431205862758161,0.7422557691676177,"[139428, 48197, 383, 1098]"
jgit,DT,0,model2,RUS,0.7078886973443466,0.43192464633995326,0.8216628356981047,[0.82786451 0.03598478],0.7078886973443466,0.6961512491559757,0.707981345769487,0.7020662974627314,"[132835, 54790, 450, 1031]"
jgit,LogisticRegression,0,model2,RUS,0.7632703351559443,0.45165243430542495,0.8585479395133002,[0.86502263 0.03828224],0.7632703351559443,0.6016205266711682,0.7645463024650233,0.6830834145680957,"[143448, 44177, 590, 891]"
jgit,MLP,0,model2,RUS,0.6901420367412985,0.4255625172450009,0.8093079596411271,[0.81541428 0.03571076],0.6901420367412985,0.7326130992572586,0.6898067954696869,0.7112099473634729,"[129425, 58200, 396, 1085]"
jgit,RandomForest,0,model3,RUS,0.828805008831026,0.4652896439699179,0.8992643497632383,[0.90616993 0.02440935],0.828805008831026,0.2734638757596219,0.8331885409726849,0.5533262083661534,"[156327, 31298, 1076, 405]"
jgit,DT,0,model3,RUS,0.8291434433598088,0.46538547225593896,0.8994660667449941,[0.90637334 0.02439761],0.8291434433598088,0.27278865631330185,0.8335349766822119,0.5531618164977569,"[156392, 31233, 1077, 404]"
jgit,LogisticRegression,0,model3,RUS,0.6444322231975718,0.4000304551079553,0.7769602847566061,[0.78295815 0.01710276],0.6444322231975718,0.3950033760972316,0.6464010659560293,0.5207022210266304,"[121281, 66344, 896, 585]"
jgit,MLP,0,model3,RUS,0.7437997736719089,0.4352238810091973,0.8461491924879232,[0.85268801 0.01775976],0.7437997736719089,0.29574611748818364,0.7473364423717521,0.5215412799299679,"[140219, 47406, 1043, 438]"
jgit,RandomForest,0,model1,ENN,0.9147568030628325,0.5026764238454733,0.9482857030809477,[0.95537642 0.04997643],0.9147568030628325,0.2862930452397029,0.9197175216522319,0.6030052834459674,"[172562, 15063, 1057, 424]"
jgit,DT,0,model1,ENN,0.8855985531923894,0.4906159743291837,0.9321410410465697,[0.93916677 0.04206518],0.8855985531923894,0.32072923700202566,0.8900572951365756,0.6053932660693007,"[166997, 20628, 1006, 475]"
jgit,LogisticRegression,0,model1,ENN,0.7562795469207746,0.4491479411987822,0.8540252870117104,[0.86046786 0.03782802],0.7562795469207746,0.611748818365969,0.7574203864090606,0.6845846023875148,"[142111, 45514, 575, 906]"
jgit,MLP,0,model1,ENN,0.9921049570082388,0.5026633333124008,0.9883088943294536,[0.99603669 0.00928998],0.9921049570082388,0.004726536124240378,0.9998987341772152,0.5023126351507278,"[187606, 19, 1474, 7]"
jgit,RandomForest,0,model2,ENN,0.9220490095501993,0.5059632007091504,0.9522508161730202,[0.95935233 0.05257407],0.9220490095501993,0.2761647535449021,0.927147235176549,0.6016559943607256,"[173956, 13669, 1072, 409]"
jgit,DT,0,model2,ENN,0.8976024028851544,0.49642401739405656,0.9388544590655907,[0.94589459 0.04695344],0.8976024028851544,0.32207967589466574,0.902145236508994,0.6121124562018299,"[169265, 18360, 1004, 477]"
jgit,LogisticRegression,0,model2,ENN,0.7591086480598183,0.450322698294169,0.855855885580229,[0.8623089 0.0383365],0.7591086480598183,0.613099257258609,0.7602611592271818,0.6866802082428954,"[142644, 44981, 573, 908]"
jgit,MLP,0,model2,ENN,0.9919198756253107,0.5101043925991966,0.9883333638715277,[0.99594314 0.02426564],0.9919198756253107,0.012829169480081027,0.9996482345103265,0.5062387019952037,"[187559, 66, 1462, 19]"
jgit,RandomForest,0,model3,ENN,0.4758336594291033,0.33083908495369446,0.637448080729428,[0.64232697 0.0193512 ],0.4758336594291033,0.6603646185010128,0.47437708194536976,0.5673708502231913,"[89005, 98620, 503, 978]"
jgit,DT,0,model3,ENN,0.4733641449768913,0.3296905216709898,0.63516148611021,[0.64002227 0.01935878],0.4733641449768913,0.6637407157326131,0.4718614257161892,0.5678010707244011,"[88533, 99092, 498, 983]"
jgit,LogisticRegression,0,model3,ENN,0.6813374509534336,0.4138081283453431,0.8036148509081041,[0.80981762 0.01779864],0.6813374509534336,0.36866981769074947,0.6838054630246503,0.5262376403576998,"[128299, 59326, 935, 546]"
jgit,MLP,0,model3,ENN,0.9921684134823855,0.4980344065128699,0.9882680139390312,[0.99606881 0.        ],0.9921684134823855,0.0,1.0,0.5,"[187625, 0, 1481, 0]"
jgit,RandomForest,0,model1,TL,0.9149789007223462,0.5004920462904832,0.9483809656770265,[0.95550796 0.04547613],0.9149789007223462,0.2586090479405807,0.9201598934043971,0.5893844706724889,"[172645, 14980, 1098, 383]"
jgit,DT,0,model1,TL,0.8866931773714213,0.4899654998200105,0.9327472989849721,[0.93979303 0.04013797],0.8866931773714213,0.3024983119513842,0.8913044636908728,0.5969013878211284,"[167231, 20394, 1033, 448]"
jgit,LogisticRegression,0,model1,TL,0.7576068448383447,0.4495615594255679,0.8548884291620165,[0.86133816 0.03778496],0.7576068448383446,0.6076975016880486,0.7587901399067288,0.6832438207973888,"[142368, 45257, 581, 900]"
jgit,MLP,0,model1,TL,0.9921684134823855,0.4980344065128699,0.9882680139390312,[0.99606881 0.        ],0.9921684134823855,0.0,1.0,0.5,"[187625, 0, 1481, 0]"
jgit,RandomForest,0,model2,TL,0.9225725254619103,0.5044935146219641,0.9525137064067871,[0.95964279 0.04934424],0.9225725254619103,0.2565833896016205,0.9278294470353098,0.5922064183184652,"[174084, 13541, 1101, 380]"
jgit,DT,0,model2,TL,0.8987023151036985,0.4952669916214791,0.9394495977579109,[0.94651761 0.04401637],0.8987023151036985,0.2977717758271438,0.9034457028647568,0.6006087393459503,"[169509, 18116, 1040, 441]"
